[Sat May 17 12:34:13 2025
] Message: "Connect sucsess". Additionsl code = 0[Sat May 17 12:34:14 2025
] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:34:26 2025
] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:34:39 2025
] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:34:51 2025
] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:35:09 2025] Message: "Connect sucsess". Additionsl code = 0[Sat May 17 12:35:09 2025] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:35:21 2025] Message: "Long poll started". Additionsl code = 0[Sat May 17 12:35:37 2025] Message: "Connect sucsess". Additionsl code = 0
[Sat May 17 12:35:38 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:35:49 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:36:01 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:36:13 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:36:25 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:36:37 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:36:49 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:37:01 2025] Message: "Long poll started". Additionsl code = 0
[Sat May 17 12:39:02 2025] Message: "Connect try". Additionsl code = 0
.[Sat May 17 12:39:03 2025] Message: "Connect sucsess". Additionsl code = 0
.[Sat May 17 12:39:04 2025] Message: "Bot started. Username: ZhiZhaTestBot". Additionsl code = 0
.[Sat May 17 12:39:04 2025] Message: "Long poll started". Additionsl code = 0
.[Sat May 17 12:39:24 2025] Message: "Connect try". Additionsl code = 0.
[Sat May 17 12:39:24 2025] Message: "Connect sucsess". Additionsl code = 0.
[Sat May 17 12:39:24 2025] Message: "Bot started. Username: ZhiZhaTestBot". Additionsl code = 0.
[Sat May 17 12:39:24 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:39:37 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:39:49 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:40:01 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:40:13 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:40:25 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:40:37 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:40:49 2025] Message: "Long poll started". Additionsl code = 0.
[Sat May 17 12:41:00 2025] Message: "Long poll started". Additionsl code = 0.
